39.889996 -123.570030 -696.055786 0.050562 -0.960675 0.273034
44.745934 -123.356224 -696.651672 0.119095 -0.941931 0.313977
49.137482 -122.506355 -696.427185 0.198875 -0.900785 0.386051
29.381315 -121.260368 -691.102905 -0.200244 -0.959064 0.200244
28.194597 -119.895355 -687.179382 -0.187243 -0.936216 0.297386
27.359560 -117.752205 -682.681396 -0.148934 -0.882149 0.446803
26.975735 -114.633347 -677.900757 -0.181223 -0.785301 0.591996
33.793064 -122.057487 -691.825073 -0.117454 -0.950310 0.288296
39.234478 -122.223503 -691.808594 0.031354 -0.930167 0.365796
33.140884 -120.284615 -686.619507 -0.076803 -0.910659 0.405957
38.702728 -120.194656 -686.844299 0.098557 -0.908911 0.405177
44.345146 -121.579689 -691.665710 0.197049 -0.892518 0.405690
49.705353 -120.320892 -692.267090 0.286717 -0.810287 0.511104
44.298405 -119.031746 -687.014221 0.287792 -0.838352 0.462970
49.316891 -117.470665 -687.740967 0.348481 -0.735683 0.580802
32.882008 -117.992378 -682.123596 -0.032359 -0.873699 0.485389
38.618793 -117.538734 -681.743286 0.180279 -0.805244 0.564873
32.356731 -114.880074 -677.217163 -0.033841 -0.800893 0.597850
37.971313 -114.460098 -677.172180 0.156877 -0.808521 0.567171
43.987980 -115.946945 -682.020386 0.383610 -0.727536 0.568801
48.672085 -114.068871 -683.308289 0.502252 -0.637996 0.583698
43.677319 -112.703735 -677.563293 0.384960 -0.703547 0.597351
47.969257 -110.806122 -679.077942 0.558612 -0.613111 0.558612
54.428394 -118.877266 -692.687134 0.346867 -0.757969 0.552418
53.658890 -115.940216 -688.758972 0.386049 -0.652291 0.652291
72.698402 -116.002243 -692.416626 0.032389 -0.896107 0.442655
72.283615 -113.693336 -688.229187 -0.123893 -0.889777 0.439257
52.068218 -113.712395 -685.603271 0.492197 -0.545408 0.678434
72.080299 -110.763664 -683.559631 -0.296066 -0.759475 0.579260
72.043823 -107.456535 -679.561401 -0.437134 -0.649078 0.622585
